station_name,network,dist_from_hub_km,lat_wgs84,lon_wgs84,s_bahn_lines,num_s_bahn_lines,has_long_distance,trains_per_hour_peak_approx,trains_per_hour_offpeak_approx,min_frequency_guarantee,line_overlap_source,city101_analog_station,city101_analog_dist_km,city101_analog_trains_per_hr,frequency_ratio_zh_over_c101,argument_role,structural_note
Zürich HB,ZVV,0.0,47.3782,8.5403,"S2|S3|S5|S6|S7|S8|S9|S12|S14|S15|S16|S19|S20|S21|S24|S25",16,yes_IC_IR_RE,24.0,16.0,16.0,radial_hub_all_lines_converge,Lausanne,0,28.5,0.84,hub_baseline,"Both are the main hub of their network. Lausanne slightly higher raw count due to tram/metro but structurally equivalent as convergence point."
Zürich Enge,ZVV,1.5,47.3641,8.5310,"S2|S8|S24",3,yes_IR,8.0,6.0,6.0,three_sbahn_plus_IR,Renens VD,3,26.5,0.30,inner_ring,"Inner-city station. Enge gets 3 S-Bahn + IR. Renens is a similar inner satellite but gets much higher frequency due to being a junction."
Zürich Wollishofen,ZVV,3.2,47.3503,8.5316,"S8|S24",2,no,4.0,4.0,4.0,two_sbahn_lines,Prilly-Malley,4,5.0,0.80,suburban_baseline,"First suburban station. Only 2 S-Bahn lines but still 4 trains/hr. City101 analog has similar frequency — both suburbs near the hub."
Kilchberg,ZVV,5.0,47.3256,8.5446,"S8|S24",2,no,4.0,4.0,4.0,two_sbahn_lines,La Conversion,54,4.0,1.00,suburban_parity,"Quiet lakeside suburb. Same 2 lines = 4/hr floor. La Conversion gets similar frequency — but is 54km from Geneva vs 5km from ZH HB."
Rüschlikon,ZVV,6.5,47.3086,8.5519,"S8|S24",2,no,4.0,4.0,4.0,two_sbahn_lines,Bossière,56,2.0,2.00,frequency_floor_proof,"Rüschlikon: quiet village 6.5km out still gets 4/hr. Bossière at 56km from Geneva gets only 2/hr — worst in corridor. Even ZH's quiet suburbs beat City101's weakest."
Thalwil,ZVV,9.5,47.2937,8.5618,"S2|S8|S24",3,yes_IR,8.0,6.0,6.0,junction_three_sbahn_plus_IR,Morges,28,11.0,0.73,junction_node,"Major junction (Lucerne line branches here). 3 S-Bahn + IR. Morges is City101's mid-corridor junction (Morges-Lausanne Y). Both are transit-rich nodes."
Oberrieden,ZVV,11.0,47.2773,8.5741,S8,1,no,2.0,2.0,2.0,single_line_minimum,Grandvaux,60,4.5,0.44,minimum_frequency_station,"THE key comparison station. Oberrieden is the Zurich network's minimum — only S8, only 2/hr. But that's still higher than St-Saphorin (0.0) and equal to Bossière (2.0). The Zurich minimum EQUALS City101's near-minimum."
Horgen,ZVV,14.0,47.2613,8.5975,"S2|S8",2,no,4.0,4.0,4.0,two_sbahn_express_stops,Nyon,24,12.5,0.32,mid_line_express,"Horgen gets S2 (express) + S8 (local) = 4/hr. Nyon similarly gets express + local on City101. But Nyon is a significant town — Horgen is a village getting equivalent service."
Wädenswil,ZVV,20.5,47.2267,8.6637,"S2|S8|S13|S25",4,yes_IR,10.0,7.0,7.0,four_sbahn_plus_IR_plus_branch,Vevey,66,20.0,0.50,branch_junction,"4 S-Bahn lines + IR + branch to Einsiedeln. Wädenswil is Zurich's analog to Vevey — lakeside junction where a branch line adds extra frequency. Both are cultural towns."
Richterswil,ZVV,24.5,47.2097,8.6968,"S2|S8",2,no,4.0,4.0,4.0,two_sbahn_lines,La Tour-de-Peilz,68,4.0,1.00,outer_suburban_parity,"24.5km from hub, still 4/hr from 2 overlapping lines. La Tour-de-Peilz gets same 4/hr — but at 68km from Geneva. Distance-matched parity despite radically different network topology."
Bäch,ZVV,27.0,47.2000,8.7244,S8,1,no,2.0,2.0,2.0,single_line_minimum,Épesses,62,3.0,0.67,outer_minimum,"Second single-line station. 27km from hub = 2/hr. Épesses at 62km from Geneva gets 3.0 — actually slightly more. But Épesses has ZERO workspaces and ZERO WiFi. Frequency alone doesn't make continuity."
Pfäffikon SZ,ZVV,32.0,47.1974,8.7825,"S2|S8|S13|S25|S40",5,yes_IR,12.0,8.0,8.0,five_sbahn_plus_IR_terminus,Montreux,70,14.0,0.86,outer_hub,"Terminal junction where multiple lines converge. 5 S-Bahn + IR. Montreux is the eastern pole of City101. Both serve as 'end of the main line' hubs with strong frequency."
