node_id,name,tier,tier_label,category,subcategory,operator,annual_packages_k,transport_modes,address,postal_code,city,canton,E_LV95,N_LV95,lat_wgs84,lon_wgs84,CRS,source,correction_note
N18,Vevey Industrial Zone — Nestlé Supply Chain,B,Regional Node,swiss_companies,food_manufacturing_logistics,Nestlé SA / various,500,"truck, rail",Route de Condémine,1800,Vevey,VD,2554321.291,1145914.911,46.463,6.844,EPSG:2056,NEW — from upload,Nestlé global HQ adjacent. Significant inbound/outbound freight flows. Missing from original.
P030,Cainiao / China Post Last-Mile Agent Geneva,B,Regional Node,arrival_abroad,chinese_ecommerce,Alibaba Cainiao Network,420,van,Rue de Berne 20,1201,Genève,GE,2500562.451,1118190.072,46.2078,6.1502,EPSG:2056,ORIGINAL P030,AliExpress / Alibaba parcels entry point. Fastest growing flow.
P012,UPS Supply Chain Solutions Lausanne,B,Regional Node,international_companies,distribution_center,United Parcel Service,420,"truck, van",Chemin du Closelet 4,1023,Crissier,VD,2537781.933,1152633.492,46.5221,6.6278,EPSG:2056,ORIGINAL P012,UPS regional distribution. Distinct from GLS/TNT.
N16,DPD Depot Lausanne,B,Regional Node,international_companies,parcel_depot,DPD Group,380,"truck, van",Route de Croy 9,1023,Crissier,VD,2533746.411,1154110.753,46.535,6.575,EPSG:2056,MERGED P019+N16,N16 coords are consistent with my P019 Crissier location. Kept as refined entry.
P027,Geneva Customs Office — Postal Parcels,B,Regional Node,arrival_abroad,customs_postal,Swiss Federal Customs,350,truck,Rue de la Servette 2,1202,Genève,GE,2500497.971,1118024.362,46.2063,6.1494,EPSG:2056,ORIGINAL P027,"Postal import customs for small parcels (AliExpress, direct mail)."
P016,Coop Vitale / Coop@home Lausanne,B,Regional Node,swiss_companies,grocery_ecommerce,Coop Genossenschaft,320,"truck, van, cargo_bike",Avenue de Sécheron 20,1014,Lausanne,VD,2538359.886,1153616.961,46.531,6.6352,EPSG:2056,ORIGINAL P016,Coop@home online grocery last-mile hub. Distinct from N09 upstream warehouse.
P011,FedEx Geneva Station,B,Regional Node,international_companies,express_hub,FedEx Corporation,310,"air, truck, van",Route de l'Aéroport 21,1215,Le Grand-Saconnex,GE,2497426.524,1121711.322,46.239,6.1088,EPSG:2056,ORIGINAL P011,FedEx ground station at airport.
P035,E-Commerce Returns Hub Lausanne,B,Regional Node,swiss_companies,returns_processing,Various (shared facility),310,"truck, van",Route de Genève 40,1004,Lausanne,VD,2535812.275,1153588.053,46.5305,6.602,EPSG:2056,ORIGINAL P035,Shared reverse logistics facility. Multiple e-retailers.
N05,Planzer Transport Genève,B,Regional Node,3pl_carrier,road_freight,Planzer Transport AG,300,"truck, van",Zone industrielle,1217,Meyrin,GE,2499402.796,1119009.758,46.215,6.135,EPSG:2056,NEW — from upload,Major Swiss 3PL entirely absent from original model. Handles e-comm returns and B2B freight.
N12,Planzer Transport Lausanne (Crissier),B,Regional Node,3pl_carrier,road_freight,Planzer Transport AG,300,"truck, van",Route de Croy,1023,Crissier,VD,2532827.12,1154232.134,46.536,6.563,EPSG:2056,NEW — from upload,Planzer Lausanne 3PL. LTL/FTL and e-commerce returns handling. Missing from original.
P017,Migros Online Lausanne Distribution,B,Regional Node,swiss_companies,grocery_ecommerce,Migros Genossenschaft,295,"truck, van, cargo_bike",Route de Romanel 48,1032,Romanel-sur-Lausanne,VD,2537870.216,1152265.713,46.5188,6.629,EPSG:2056,ORIGINAL P017,Migros online food delivery. Distinct from N08 upstream Ecublens DC.
P013,Zalando Logistics Partner Nyon,B,Regional Node,international_companies,fashion_logistics,Zalando SE,290,truck,Route de Saint-Cergue 32,1260,Nyon,VD,2508133.07,1137326.326,46.381,6.2445,EPSG:2056,ORIGINAL P013,Fashion e-commerce distribution and returns for Western CH.
P029,Bpost International Geneva Relay,B,Regional Node,arrival_abroad,international_postal,bpost International,280,van,Rue du Mont-Blanc 11,1201,Genève,GE,2500358.307,1118449.148,46.2101,6.1475,EPSG:2056,ORIGINAL P029,Belgian Post relay for EU e-commerce entering Switzerland.
P021,Smood Last-Mile Geneva,B,Regional Node,swiss_companies,on_demand_delivery,Smood SA,210,"cargo_bike, van, motorcycle",Rue des Alpes 20,1201,Genève,GE,2500220.534,1117584.212,46.2023,6.1459,EPSG:2056,ORIGINAL P021,"App-based same-day last-mile, Geneva center."
N13,Kuehne+Nagel Lausanne (Renens),B,Regional Node,3pl_carrier,freight_forwarding,Kuehne+Nagel International AG,200,"truck, rail",Avenue de Longemalle,1020,Renens,VD,2534899.491,1154320.492,46.537,6.59,EPSG:2056,NEW — from upload,International freight forwarder. Contract logistics. Not in original model.
P007,Swiss Post Vevey Distribution Point,B,Regional Node,swisspost,local_depot,Swiss Post AG,180,"van, cargo_bike",Avenue Paul-Ceresole 1,1800,Vevey,VD,2554320.446,1145803.749,46.462,6.844,EPSG:2056,ORIGINAL P007,Swiss Post Vevey last-mile depot for Riviera district.
N17,GLS / TNT Lausanne,B,Regional Node,international_companies,parcel_depot,GLS / FedEx TNT,165,"truck, van",Chemin du Closelet,1023,Crissier,VD,2532589.508,1153567.76,46.53,6.56,EPSG:2056,MERGES P023+P017,Combines GLS Switzerland and TNT Lausanne operations in Crissier.
P015,Jumbo Markt E-Commerce Morges,B,Regional Node,swiss_companies,general_retail,Jumbo-Markt AG,145,"truck, van",Route du Vivier 6,1110,Morges,VD,2527791.621,1151455.62,46.5105,6.4978,EPSG:2056,ORIGINAL P015,DIY/garden/pets online orders fulfillment.
P018,La Redoute Suisse Returns Center,B,Regional Node,international_companies,returns_processing,La Redoute SAS,120,"truck, van",Chemin de la Vuarpillière 1,1260,Nyon,VD,2507796.639,1137464.878,46.3822,6.2401,EPSG:2056,ORIGINAL P018,Fashion returns processing hub Nyon.
P031,Swiss Post Morges Depot,B,Regional Node,swisspost,local_depot,Swiss Post AG,120,"van, cargo_bike",Rue de Lausanne 3,1110,Morges,VD,2527844.275,1151366.049,46.5097,6.4985,EPSG:2056,ORIGINAL P031,Swiss Post depot for Morges district.
N20,Villeneuve Rail Terminus,B,Regional Node,arrival_abroad,rail_freight_terminus,SBB Cargo AG,120,"rail, truck",Gare de Villeneuve,1844,Villeneuve,VD,2560881.957,1138865.09,46.4,6.93,EPSG:2056,NEW — from upload,End of main corridor. Rail connection to Valais and Simplon route. Missing from original.
