name,E_LV95,N_LV95,actual_UHI_zone,perceived_comfort,shade_condition,water_proximity,wind_exposure,surface_albedo,acoustic_environment,visual_environment,comfort_category,description
Jardin Anglais (Geneva lakefront),2500800,1117500,HIGH,Cool,Dense canopy,Lake edge + Jet d'Eau spray,Lake breeze,Light gravel paths,Water + birds,Blue/green panorama,PERCEIVED_COOL,"Despite being in Geneva's UHI core, lake breeze and mature trees create strong comfort island"
Parc des Bastions (Geneva),2500000,1117300,HIGH,Cool,Mature plane trees,Fountain,Sheltered by walls,Gravel + grass,Fountain + quiet,Historic green enclosure,PERCEIVED_COOL,"Walled park traps cool air under dense canopy, feels 5-8°C cooler than adjacent streets"
Jet d'Eau viewing area,2501200,1117200,HIGH,Very Cool,None (open),Direct spray mist,Strong lake wind,Water surface,Rushing water,Vast blue lake view,PERCEIVED_COOL,Zero shade but water spray and wind create dramatic cooling perception
Bains des Pâquis,2500800,1118800,HIGH,Very Cool,Minimal,Immersed in lake,Open lakefront,Water,Waves + swimmers,360° water,PERCEIVED_COOL,Public baths: psychological and physical cooling despite being in UHI zone
Quai du Mont-Blanc promenade,2501000,1118500,HIGH,Cool-Moderate,Scattered trees,Lake adjacent,Open to bise wind,Light pavement,Gentle waves,Lake + Alps view,PERCEIVED_COOL,"Comfort comes from view and breeze, not shade"
Place de la Navigation (Lausanne-Ouchy),2537500,1150500,MEDIUM,Cool,Plane tree canopy,Lake proximity,Lake breeze,Light stone,Water lapping,Lake + boats view,PERCEIVED_COOL,"Historic lakefront square, mature trees plus lake = high comfort"
Parc de Milan (Lausanne),2537800,1152000,HIGH,Cool,Dense mixed canopy,Decorative pond,Sheltered valley,Grass + soil,Birdsong + leaves,All green,PERCEIVED_COOL,"Urban park in steep terrain, cold air pools here"
Esplanade de la Cathédrale (Lausanne),2537500,1152500,HIGH,Moderate-Cool,Building shade PM,None,Exposed hilltop,Light stone,Church bells,Panoramic lake view,PERCEIVED_COOL,Exposed but the view of blue lake creates psychological cooling
Place de la Palud (Lausanne),2537200,1152400,HIGH,Cool,Buildings create shade,Fountain (animated),Narrow street funneling,Historic stone pavement,Fountain clock + voices,Historic enclosure,PERCEIVED_COOL,"Narrow medieval square, buildings provide all-day shade, fountain adds sensory cooling"
Quai de la Rouvenaz (Montreux),2560500,1143500,MEDIUM,Cool,Palm trees + plane trees,Lake edge,Open lakefront,Light promenade surface,Water + music festivals,Iconic Riviera panorama,PERCEIVED_COOL,The Montreux promenade: lake + palms + Chillon view = peak comfort perception
Château de Chillon surrounds,2562000,1141500,LOW,Very Cool,Castle shadow zones,Lake on 3 sides,Strong lake breeze,Stone + water,Waves on castle walls,Medieval + mountain + lake,PERCEIVED_COOL,"Uniquely multi-sensory: stone, water, history, mountain views"
Cully wine harbour,2545500,1149000,LOW,Very Cool,Building shade,Lake harbour,Sheltered cove,Light stone + water,Boats + water,Lavaux + lake intimate view,PERCEIVED_COOL,"Small harbour: water proximity, building shade, intimate scale = high comfort"
Morges lakefront / Parc de l'Indépendance,2527300,1151500,LOW-MEDIUM,Cool,Mature trees,Lake edge + stream mouth,Open lakefront,Grass + light paths,Water + birds,Lake + tulip gardens,PERCEIVED_COOL,"Celebrated park, tulip season adds color and life perception"
Nyon lakefront / Château terrace,2507200,1136800,LOW,Cool,Castle walls shade,Lake edge,Hilltop breeze,Historic stone,Quiet + waves,Elevated lake panorama,PERCEIVED_COOL,Elevated position above lake gives both view and breeze
Vevey marketplace / Grande Place,2555300,1144800,HIGH,Moderate,Some canopy,Fountain,Partly sheltered,Mixed pavement,Market activity,Lake glimpses,PERCEIVED_COOL,"Large open square, comfort varies dramatically between market days and empty"
Pont du Mont-Blanc (Geneva),2500700,1118000,HIGH,Very Hot,Zero shade,Over water but no access,Wind tunnel,Dark asphalt,Traffic noise,Grey infrastructure,PERCEIVED_HOT,"Bridge over water but feels hostile: traffic, exhaust, no stopping places"
Route de Meyrin corridor,2497000,1121500,HIGH,Very Hot,Zero canopy,None,Exposed,Dark asphalt arterial,Constant traffic roar,Grey/commercial,PERCEIVED_HOT,4-lane arterial: asphalt radiation + noise + no green = extreme perceived heat
Parking Les Halles (Lausanne),2537000,1152600,HIGH,Very Hot,Minimal,None,Blocked by buildings,Dark asphalt,Traffic + construction,Concrete + grey,PERCEIVED_HOT,"Surface parking in city center: dark surfaces radiate, no psychological relief"
Gare de Lausanne forecourt,2537200,1152200,HIGH,Hot,Minimal canopy,None,Wind tunnel effect,Concrete + dark paving,Trains + traffic + crowds,Grey institutional,PERCEIVED_HOT,"Large exposed concrete area, crowds add body heat, acoustic stress"
Prilly-Malley commercial zone,2535500,1153500,HIGH,Very Hot,Zero,None,Open but hot air,Massive dark parking lots,Traffic,Box retail + parking,PERCEIVED_HOT,"Archetypal Swiss commercial zone: 100% sealed, zero comfort design"
IKEA/Crissier retail strip,2532000,1155000,HIGH,Very Hot,Zero,None,Exposed,Black asphalt seas,Traffic + HVAC exhaust,Box stores + parking,PERCEIVED_HOT,"Extreme thermal discomfort: dark surfaces, HVAC waste heat, no green"
Route de Genève (Lausanne west),2534500,1152000,HIGH,Hot,Sparse,None,Corridor wind but hot,Mixed asphalt/concrete,Heavy traffic,Industrial/commercial,PERCEIVED_HOT,"Major arterial through Ouest lausannois, continuous heat corridor"
Place du Tunnel (Lausanne),2537000,1153000,HIGH,Hot,Building shade partial,None,Blocked valley,Dark pavement,Traffic echo,Narrow + dark buildings,PERCEIVED_HOT,"Dark urban canyon, trapped air, noise amplification = perceived worse than measured"
Vernier-Meyrin junction area,2499500,1121500,HIGH,Very Hot,Zero,None,Exposed,Highway interchange asphalt,Highway roar,Infrastructure only,PERCEIVED_HOT,"Highway interchange: pure infrastructure zone, uninhabitable thermal environment"
Avenue de France (Geneva),2500500,1119000,HIGH,Hot,Sparse street trees,None,Channeled but not cooling,Standard road surface,Traffic,Institutional/grey,PERCEIVED_HOT,"International quarter, wide avenue but insufficient canopy for canyon effect"
Place de l'Europe (Lausanne-Flon),2537300,1152400,HIGH,Hot,Minimal,None,Some wind above,Concrete platform,Music venues + traffic below,Modern concrete/glass,PERCEIVED_HOT,"Elevated platform over Flon valley, concrete radiates, no natural cooling"
Montreux rail station area,2560700,1144200,MEDIUM,Hot,Minimal,None nearby,Blocked by buildings,Asphalt/concrete,Train + road traffic,Urban infrastructure,PERCEIVED_HOT,"Transit hub with sealed surroundings, despite mountain air nearby"
Flon district (Lausanne),2537400,1152300,HIGH,Variable,Buildings create time-varying shade,None,Valley channeling,Mix of new/old surfaces,Nightlife + daytime office,Trendy adaptive reuse,TRANSITIONAL,"Comfort flips: cool morning shade in narrow streets, hot noon sun on plazas, evening social warmth"
Lavaux wine terraces (general),2549000,1148500,LOW,Variable,None (open terraces),Visual lake below,Mountain/lake thermals,Stone walls + vine canopy seasonal,Wind in vines + birds,Iconic terraced landscape,TRANSITIONAL,"Summer: vine canopy creates dappled shade, stone walls radiate at night; winter: exposed and cold"
Vidy lakefront (Lausanne),2535500,1150000,LOW,Variable,Scattered trees,Lake + Roman ruins,Open to bise,Grass + paths,Lake + sports,Open green + lake,TRANSITIONAL,"Exposed to bise wind (cold NE): comfortable in summer, hostile in winter"
Rue de Bourg (Lausanne),2537600,1152600,HIGH,Variable,Narrow street = shade,None,Sheltered,Historic stone/cobble,Shopping activity,Elegant historic street,TRANSITIONAL,"Historic shopping street: shade from height-to-width ratio, stone absorbs heat but looks cool"
Grand-Rue Vevey,2555600,1144900,HIGH,Moderate,Mixed building shade,Fountain occasional,Partly sheltered,Mixed historic pavement,Commerce + pedestrians,Historic Mediterranean feel,TRANSITIONAL,"Perception shifts with activity: market mornings feel alive-cool, empty afternoons feel trapped-hot"
Avenue de la Gare (Montreux),2560600,1144000,MEDIUM,Moderate,Street trees some,None,Gentle downhill flow,Standard urban,Traffic + pedestrian,Mountain backdrop,TRANSITIONAL,Mountain view creates psychological cooling despite standard urban conditions
