station_name,station_type,google_place_id,review_text,shelter,cleanliness,safety,wayfinding,amenities,accessibility,crowding,beauty,work_friendly,sentiment
Lutry,train,ChIJu7AaNDsvjEcRl5svGw83zQA,"Easy access for transportation bus and train, very near to nature, lake and vineyards",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Lutry,train,ChIJu7AaNDsvjEcRl5svGw83zQA,"Completely renovated. Now it has large touch screens for itinerary details",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,positive
Chexbres-Village,train,ChIJxybiRRAojEcRZzt76U0zH6g,"Stunning little village perched above Lake Geneva with sweeping vineyard views. Called the Balcony of the Lake. UNESCO-listed Lavaux vineyard terraces.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Chexbres-Village,train,ChIJxybiRRAojEcRZzt76U0zH6g,"A pretty station full of flowers, well decorated, with a magnificent view of the lake",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Chexbres-Village,train,ChIJxybiRRAojEcRZzt76U0zH6g,"Recommend taking a walk from Chexbres station to St. Saphorin station!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
Puidoux-Chexbres,train,ChIJu7DG6EMojEcRXektYMynUZI,"Ticket machine, snack machines, photo booth, phone booth, mailbox on platform 1. Heated waiting room in station building. Clean modern toilets cost 1 CHF. Ramps or stairs, trash cans, benches on both platforms. Large paid parking lot.",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,positive
Puidoux-Chexbres,train,ChIJu7DG6EMojEcRXektYMynUZI,"Small train station with regular schedule every hour. Destinations: Lausanne, Payerne, Vevey. Two Selecta stations for snacks. Heated waiting room.",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,neutral
Ouchy-Olympique,metro_m2,ChIJ7_WXsdovjEcRwB1aRfHehbE,"Well organized station with very friendly polite and helpful staff. Amazing pharmacy shop at the station.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,positive
Ouchy-Olympique,metro_m2,ChIJ7_WXsdovjEcRwB1aRfHehbE,"Nice cute and quick metro station, trains scheduled every approx 4 mins to the main Lausanne train station",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive
Ouchy-Olympique,metro_m2,ChIJ7_WXsdovjEcRwB1aRfHehbE,"Magnificent place in Lausanne by Ouchy Port. Take the metro station close by to move everywhere in Lausanne",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,positive
