ID,Nom_zone,Acronyme,Canton,Commune_s,District,E_LV95,N_LV95,lat_wgs84,lon_wgs84,Surface_ha,Nb_entreprises,Nb_emplois,Secteur_dominant,Acces_ferroviaire,Acces_autoroute,Gestionnaire,Statut_planif,Source_surface,Notes_strategiques
1,Zone industrielle Praille-Acacias-Vernets,PAV,GE,"Genève (Ville), Lancy, Carouge",Ville de Genève,2499700,1116200,46.1930,6.1185,230,450,12000,Industrie urbaine / Logistique / Reconversion mixte,Oui (triage CFF Praille),A1/A4 sortie Lancy,FTI,En mutation vers logements + activités mixtes,FTI / SIAMEN Genève,Plus grande ZI urbaine du canton GE ; déclassement partiel en cours PAV ; pression foncière maximale
2,EcoParc ZIPLO (Zone industrielle Plan-les-Ouates),ZIPLO,GE,Plan-les-Ouates,Plan-les-Ouates,2498500,1113300,46.1685,6.1095,190,400,18000,Haute horlogerie / Pharma / Biotech / High-tech,Oui (halte tram 18 / TOSA),A1 sortie Bernex / Carouge,FTI,EcoParc actif depuis 2015,FTI / commune PLO,Rolex – Patek Philippe – STMicro – Clarins ; IUS=0.86 le plus dense du canton ; AZIPLO (134 entreprises)
3,ZIMEYSAVER — périmètre global (ZIMEYSA + ZIBAT + ZIMOGA + ZODIM),ZIMEYSAVER,GE,"Meyrin, Satigny, Vernier",Meyrin / Vernier / Satigny,2494800,1120800,46.2140,6.0770,380,1400,16000,Logistique / Industrie manufacturière / Multi-activités,Oui (halte CFF Zimeysa sur ligne Cornavin–La Plaine),A1/A2 sortie Meyrin / Vernier,FTI / Etat GE,Grand projet cantonal horizon 2030,Commune Meyrin / ge.ch,Sous-périmètres : ZIMEYSA 182ha + ZIMOGA 41ha + ZIBAT 38ha + ZODIM 36ha ; densification verticale ; futur raccord barreau Montfleury
4,EcoParc ZIBAY (Zone industrielle Bois-de-Bay),ZIBAY,GE,Satigny,Satigny,2493200,1120100,46.2102,6.0480,79,150,3500,Recyclage / Mécanique auto / Construction / Logistique,Non (accès bus uniquement),A1 sortie Satigny-Peney,FTI,EcoParc actif depuis 2014,FTI (article genie.ch),IUS=0.30 ; potentiel densification ; toitures photovoltaïques 53000m²
5,Zone industrielle Acacias / Jonction (hors PAV),ZIPAL,GE,Genève (Ville),Ville de Genève,2500800,1116700,46.1985,6.1345,55,180,4500,Industrie légère / Artisanat / Logistique urbaine,Oui (ligne tram + réseau CFF),A1/A4 sortie Carouge / Plainpalais,FTI,Zone primaire FTI – stable,SIAMEN Genève,Complémentaire à PAV ; densification progressive ; loyers sous pression
6,Zone industrielle Grand-Saconnex — Mouille-Galand,ZIMOGA (partie),GE,"Grand-Saconnex, Vernier",Grand-Saconnex,2500300,1123100,46.2372,6.1175,41,100,2800,Transport / Logistique aéroport / Industrie légère,Non,A1 sortie Aéroport / Grand-Saconnex,FTI,EcoParc en développement,Commune Meyrin,Proximité directe aéroport Genève-Cointrin ; forte vocation logistique aéroportuaire
7,Zone industrielle des Batailles (ZIBAT),ZIBAT,GE,"Meyrin, Vernier",Meyrin / Vernier,2495600,1121400,46.2220,6.0850,38,80,1300,Industrie manufacturière / Artisanat,Oui (ligne CFF Cornavin–La Plaine),A2 sortie Meyrin,FTI,PDZIA adopté 2022 (ZIBAT-NORD),FTI / commune Meyrin,Contraintes OPAM (gazoduc / oléoduc / voie ferrée) ; plafond aérien aéroport
8,Zone industrielle développement Meyrin (ZODIM),ZODIM,GE,Meyrin,Meyrin,2496100,1122300,46.2310,6.0910,36,90,1200,Industrie légère / R&D / Medtech,Oui (halte Zimeysa),A2 sortie Meyrin,FTI,Zone de développement,Commune Meyrin,IUS=0.52 ; potentiel de densification ; voisinage CERN
9,Zone industrielle Nyon — La Morâche Nord / Changins,ZI-NYON,VD,"Nyon, Prangins",District de Nyon,2510700,1141500,46.3745,6.2340,45,120,2800,Industrie légère / Pharma / Logistique / High-tech,Oui (gare CFF Nyon à 1km),A1 sortie Nyon-Nord,Commune de Nyon / privé,Zone existante + extension prévue (site stratégique cantonal VD),Région de Nyon / Vaud-Economie,UEFA siège social proche ; CIPEL / Changins (AgriGeniuS) ; lien avec pôle international Nyon
10,Zone d'activités Littoral Parc (Allaman–Aubonne–Etoy–Saint-Prex),LITTORALPARC,VD,"Allaman, Aubonne, Etoy, Saint-Prex",District de Morges,2522650,1150750,46.4305,6.3530,112,250,5500,Mixte (industrie / artisanat / commerce / services / tourisme),Oui (gares CFF Allaman + Etoy à <2km),A1 sortie Allaman (n°15),Association Littoral Parc + communes,Zone active – plus grande ZA du canton VD,Littoralparc.ch (source officielle),Plus grande zone d'activités VD ; infrastructure complète ; réseau bike-sharing ; hôtel d'entreprises i.Life
11,Zone industrielle Gland — Les Uttins / Route de l'Industrie,ZI-GLAND,VD,Gland,District de Nyon,2513600,1145800,46.4143,6.2655,28,80,2200,Medtech / Pharma / Logistique / Technologie,Oui (gare CFF Gland),A1 sortie Gland,Commune de Gland / privé,Site stratégique cantonal VD (site Gland),Vaud-Economie / commune Gland,Philip Morris R&D ; Novartis present ; fort potentiel densification longitudinale
12,Zone industrielle Morges Est — Champ-Colin / Bataillard,ZI-MORGES-EST,VD,Morges,District de Morges,2530900,1157700,46.5168,6.4640,42,110,3200,Industrie diversifiée / Logistique / Agroalimentaire,Oui (gare CFF Morges),A1 sortie Morges-Est (n°16),Commune de Morges / privé,Site stratégique cantonal VD (Morges Est),Vaud-Economie / commune Morges,Site stratégique ARCAM ; accès lac pour logistique fluviale potentielle
13,Zone industrielle Morges Ouest — Tolochenaz / Préverenges,ZI-MORGES-OUEST,VD,"Morges, Tolochenaz, Préverenges",District de Morges,2527800,1156300,46.5042,6.4372,22,60,1400,Artisanat / PME / Stockage,Oui (gare CFF Morges 3km),A1 sortie Morges-Ouest (n°15),Commune de Morges / privé,Site stratégique cantonal VD (Morges Ouest),Vaud-Economie / commune Morges,Potentiel urbanisation dense lié au projet PALM Lausanne-Morges
14,Zone industrielle Saint-Sulpice — Technopôle EPFL / Ecublens,ZI-SULPICE,VD,"Saint-Sulpice, Ecublens, Chavannes-près-Renens",District de l'Ouest lausannois,2539800,1158500,46.5250,6.5645,35,150,5000,High-tech / Medtech / R&D / Spin-off EPFL,Oui (métro M1 Clémence – Villette / CFF),A1 sortie Ecublens,Commune + EPFL Real Estate,Pôle innovation actif – Biopôle,Vaud-Economie / site Biopôle,Biopôle (lab pharma/biotech) ; spin-off EPFL ; densité emplois très élevée ; site stratégique Bussigny-Ecublens
15,Zone industrielle Bussigny — Arc-en-Ciel (Crissier–Bussigny–Villars-SC),ZI-ARC-CIEL,VD,"Bussigny, Crissier, Villars-Sainte-Croix",District de l'Ouest lausannois,2539300,1159500,46.5348,6.5625,60,200,3000,Industrie alimentaire / Génie mécanique / Logistique / Distribution,Oui (LEB + tram T1 projeté 2027),A1 sortie Crissier / Bussigny,Communes + privé,Site stratégique cantonal VD (Arc-en-Ciel) – densification prévue,24heures / Vaud-Economie,Tram 2027 ; objectif 250 EPT/ha (vs 50 actuels) ; 3000 emplois supplémentaires projetés ; fort potentiel
16,Zone industrielle Prilly-Renens-Lausanne — Malley / Sébeillon,ZI-MALLEY,VD,"Prilly, Renens, Lausanne",District de l'Ouest lausannois,2541400,1158900,46.5295,6.5890,55,180,4200,Logistique urbaine / Industrie légère / Médias / Reconversion mixte,Oui (gare triage Sébeillon CFF / métro M1 Malley),A1 sortie Lausanne-Maladière,SBB CFF Infra + privés,Reconversion partielle – Central Malley,Commune Prilly / SBB / immoscout24,Central Malley : nouveau quartier mixte sur triage ; Mix-City Renens 100% opérationnel ; accès M1 + T1 futur
17,Zone industrielle Le Mont-sur-Lausanne — En Budron,ZI-BUDRON,VD,Le Mont-sur-Lausanne,District de Lausanne,2540800,1164100,46.5738,6.5762,18,70,1200,PME technologiques / Artisanat / Stockage,Non (bus),A1 sortie Lausanne-Crissier à 2km,Procimmo / privés,Zone existante stable,Procimmo / immoscout24,Zone artisanale dense ; loyers modérés ; déficit mobilité douce et TP
18,Zone industrielle Paudex — Pully,ZI-PAUDEX,VD,"Paudex, Pully",District de Lausanne,2549600,1156700,46.5082,6.6645,14,55,1100,Industrie légère / PME / Bureaux,Non (bus),A9 sortie Lausanne-Est / Lutry,Commune / privé,Zone existante,OSM / territoire VD,Première ZI en sortie de Lausanne vers l'est ; connexion lacustre potentielle
19,Zone industrielle Lutry — Route de Lavaux,ZI-LUTRY,VD,Lutry,District de Lavaux-Oron,2551800,1156000,46.5032,6.6875,9,30,500,Artisanat / Agroalimentaire (vins) / PME,Non,A9 sortie Lutry,Commune de Lutry / privé,Zone existante,OSM / commune Lutry,Zone contrainte entre vignoble UNESCO Lavaux et lac ; faible potentiel extension
20,Zone industrielle Cully — Grandvaux / Epesses,ZI-CULLY,VD,"Cully, Grandvaux",District de Lavaux-Oron,2555800,1154100,46.4883,6.7315,7,25,350,Agroalimentaire / Viticulture / Artisanat,Non,A9 sortie Cully–Grandvaux,Commune / privé,Zone existante,OSM / commune Cully,Coeur du vignoble Lavaux (UNESCO) ; contraintes patrimoniales fortes ; potentiel circuits courts agri-industrie
21,Zone industrielle Vevey — La Tour-de-Peilz (Quai-Perdonnet / Simplon),ZI-VEVEY,VD,"Vevey, La Tour-de-Peilz, Corseaux",District de la Riviera–Pays-d'Enhaut,2566200,1151300,46.4643,6.8508,38,100,8500,Agroalimentaire (Nestlé) / Médical / Emballage / Logistique,Oui (gare CFF Vevey),A9 sortie Vevey-Est,Privé (Nestlé dominante) + communes,Zone existante – stable,OSM / 24heures / Nestlé RA,Siège mondial Nestlé ; industrie agroalimentaire historique ; 8500 emplois = poids économique majeur malgré surface modérée
22,Zone industrielle Saint-Légier — Rio Gredon,ZI-ST-LEGIER,VD,Saint-Légier-La Chiésaz,District de la Riviera–Pays-d'Enhaut,2566900,1149700,46.4510,6.8590,12,40,600,Automobile / PME / Artisanat,Non,A9 sortie Vevey-Est,Commune Saint-Légier / privé,Zone existante ; densification planifiée (PPA Rio Gredon),PS Vevey / 24heures,Densification prévue 3m3→5m3/m2 ; articulation avec futur parc La Veyre-Derrey (site stratégique Promove)
23,Zone industrielle Montreux — Clarens / Rue de la Gare,ZI-MONTREUX,VD,"Montreux, Clarens",District de la Riviera–Pays-d'Enhaut,2570400,1148100,46.4397,6.8987,10,45,700,Artisanat / Tourisme industriel / PME / Médias,Oui (gare CFF Montreux et Clarens),A9 sortie Montreux,Commune Montreux / privé,Zone existante,OSM / commune Montreux,Contrainte topographique forte (coteau) ; interface tourisme-industrie unique ; Montreux Jazz voisin
