node_id,name,tier,tier_label,category,subcategory,operator,annual_packages_k,transport_modes,address,postal_code,city,canton,E_LV95,N_LV95,lat_wgs84,lon_wgs84,CRS,source,correction_note
P020,TNT FedEx Nyon Depot,C,Local Depot,international_companies,local_depot,FedEx / TNT Express,95,"truck, van",Route de Divonne 12,1260,Nyon,VD,2507700.246,1137199.526,46.3798,6.2389,EPSG:2056,ORIGINAL P020,TNT legacy depot integrated FedEx. B2B express Nyon area.
P022,Swiss Post Nyon Relay,C,Local Depot,swisspost,local_depot,Swiss Post AG,95,"van, cargo_bike",Rue de la Gare 2,1260,Nyon,VD,2507795.449,1137387.071,46.3815,6.2401,EPSG:2056,ORIGINAL P022,Swiss Post relay for Nyon district communes.
P024,IKEA Online Pickup Lausanne,C,Local Depot,international_companies,click_collect,IKEA AG,90,truck,Route de Cossonay 79,1023,Crissier,VD,2534964.588,1154664.42,46.5401,6.5908,EPSG:2056,ORIGINAL P024,IKEA click & collect. Large parcel specialist.
P025,Interdiscount / Microspot Vevey Hub,C,Local Depot,swiss_companies,tech_retail,Coop Genossenschaft,85,van,Rue du Simplon 4,1800,Vevey,VD,2554397.095,1145780.934,46.4618,6.845,EPSG:2056,ORIGINAL P025,Electronics e-comm fulfillment for Riviera zone.
N07,Nyon Rail Station — Freight Siding,C,Local Depot,arrival_abroad,rail_freight_siding,SBB Cargo AG,80,"rail, truck",Gare de Nyon,1260,Nyon,VD,2507636.463,1137556.273,46.383,6.238,EPSG:2056,NEW — from upload,Rail freight stop between Geneva and Lausanne. Missing from original model.
N19,Montreux Light Industry Zone,C,Local Depot,swiss_companies,light_industry_distribution,Various,80,"van, truck",Avenue des Alpes,1820,Montreux,VD,2559521.593,1142431.451,46.432,6.912,EPSG:2056,NEW — from upload,Local distribution zone for Montreux-Riviera area. Missing from original.
P026,Montreux Urban Consolidation Center,C,Local Depot,swiss_companies,urban_consolidation,Ville de Montreux,75,"van, cargo_bike",Route des Planches 12,1820,Montreux,VD,2559728.52,1142341.128,46.4312,6.9147,EPSG:2056,ORIGINAL P026,Eco-consolidation center. Cargo bike final mile in tourist zone.
P008,Swiss Post Villeneuve Post Office,C,Local Depot,swisspost,local_depot,Swiss Post AG,65,van,Grand-Rue 20,1844,Villeneuve,VD,2560526.15,1138556.145,46.3972,6.9254,EPSG:2056,ORIGINAL P008,End-of-line Swiss Post depot. Eastern terminus City 101.
P032,Amazon Locker — Lausanne Flon,C,Local Depot,international_companies,parcel_locker,Amazon.com Inc.,55,n/a,Place de l'Europe,1003,Lausanne,VD,2537843.777,1152677.321,46.5225,6.6286,EPSG:2056,ORIGINAL P032,Amazon Hub Locker. High-footfall self-service collection.
P033,DHL ServicePoint Nyon,C,Local Depot,international_companies,service_point,DHL International GmbH,40,van,Rue de Rive 12,1260,Nyon,VD,2507750.145,1137443.354,46.382,6.2395,EPSG:2056,ORIGINAL P033,DHL drop-off and collection point Nyon center.
P034,Relais Colis / Swiss Post Partner Vevey,C,Local Depot,swisspost,parcel_shop,Swiss Post AG,35,van,Rue du Lac 22,1800,Vevey,VD,2554282.122,1145815.157,46.4621,6.8435,EPSG:2056,ORIGINAL P034,Alternative parcel collection point Vevey.
N06,CGN Port de Genève,C,Local Depot,lake_freight,lake_port,CGN / Various,30,barge,Quai du Mont-Blanc,1201,Genève,GE,2500308.545,1117771.767,46.204,6.147,EPSG:2056,NEW — from upload,Lake freight port. Mainly fuel barges; minor commercial. Unique transport mode not in original model.
N14,CGN Port de Lausanne-Ouchy,C,Local Depot,lake_freight,lake_port,CGN,10,barge,Place de la Navigation,1006,Lausanne,VD,2537934.554,1151064.397,46.508,6.63,EPSG:2056,NEW — from upload,Historic freight quay. Minimal commercial freight today. Lake mode entirely absent from original.
