id,name,category,subcategory,location_name,municipality,lat_wgs84,lon_wgs84,osm_verified,noise_level_dBA,temporal_pattern,frequency_character,provenance,description,data_quality,notes
1,Geneva City Centre Traffic,TRANSPORT,Road,Pont du Mont-Blanc,Geneva,46.20589,6.14875,YES,72,Continuous day / reduced night,Broadband low-mid,Anthropogenic – urban traffic,"Dense urban road network; high vehicle density; trams, buses, private vehicles",Estimated / modelled,"Western terminus of City101; OSM: Pont du Mont-Blanc bridge centroid"
2,SBB Rail Corridor – Geneva Cornavin,TRANSPORT,Rail,Gare de Cornavin,Geneva,46.21032,6.14325,YES,74,Intermittent – frequent daytime,Low-freq tonal + rolling,Anthropogenic – rail,"Main Geneva station; IC/IR/RE trains + Léman Express; shunting noise at night",Estimated / modelled,"OSM: Place de Cornavin area; coordinate corrected from original estimate"
3,Geneva Airport – Flight Operations,TRANSPORT,Aviation,Aéroport International de Genève,Meyrin,46.22974,6.10679,YES,78,Peak 06:00–22:00; residual night,High broadband on approach/departure,Anthropogenic – aviation,"~160 000 movements/yr; RWY05 departures overfly Bellevue/Genthod lakeshore at low altitude (~500m AGL)",Referenced (GVA data),"OSM: Route de l'Aéroport, Cointrin, Meyrin; dominant noise source western corridor"
4,Autoroute A1 – Geneva to Nyon (mid-section),TRANSPORT,Motorway,A1 motorway between Geneva and Versoix,Versoix,46.27731,6.16896,YES,73,Continuous; peak AM/PM,Broadband rolling noise,Anthropogenic – road traffic,"6-lane motorway running 1–3 km inland; noise propagates to lakeshore especially near Versoix. OSM: Versoix municipality centroid used as reference",Estimated / modelled,"Anti-noise barriers present in some sections; linear source"
5,Geneva Airport – Ground Operations,TRANSPORT,Aviation (Ground),Apron & taxiways GVA,Meyrin,46.22974,6.10679,YES,68,06:00–23:00,Low-freq engine + APU whine,Anthropogenic – aviation,"Ground power units, jet engines at low thrust, baggage vehicles; same compound as record 3",Estimated / modelled,"Largely contained within airport perimeter; coordinate shared with record 3 (same site)"
6,Bellevue Lakeside – Aircraft Overflights,TRANSPORT,Aviation,Bellevue lakeshore,Bellevue,46.25500,6.15432,YES,68,Intermittent – 40% of movements on RWY05,High broadband,Anthropogenic – aviation,"RWY05 departure path crosses directly over lakeshore; individual event peaks 75–80 dBA. OSM: Bellevue municipality centroid",Referenced (community reports),"Critical noise hotspot on the lakeshore promenade; coordinate represents village centre"
7,SBB Rail – Genthod / Bellevue Station,TRANSPORT,Rail,Genthod village centre (station area),Genthod,46.26442,6.15706,YES,68,Frequent daytime; reduced night,Low-freq + wheel squeal,Anthropogenic – rail,"RE trains; track curvature generates squeal noise. OSM: Genthod municipality centroid (station not individually mapped in OSM)",Estimated / modelled,"Coordinate represents municipality; station is near the lake at the western edge of village"
8,N1 National Road – Versoix,TRANSPORT,National Road,Route de Suisse through Versoix,Versoix,46.29152,6.16571,YES,68,Continuous; peak commuter hours,Broadband,Anthropogenic – road traffic,"National road running through Versoix village centre; heavy commercial vehicle presence. OSM: Route de Suisse in Versoix",Estimated / modelled,—
9,SBB Rail – Coppet Station,TRANSPORT,Rail,Gare de Coppet,Coppet,46.31767,6.18852,YES,67,Frequent daytime,Low-freq rolling,Anthropogenic – rail,"IC/RE trains; significant linear source along the lakeshore corridor. OSM: Place de la Gare, Coppet",Estimated / modelled,—
10,Coppet Marina – Boat Traffic,TRANSPORT,Waterborne,Port de Coppet,Coppet,46.31442,6.19176,YES,55,Seasonal (Apr–Oct); daytime peaks,Mid-freq engine rumble,Anthropogenic – recreational,"Outboard and inboard motorboats; CGN ferry calls; occasional jet-ski noise on open water. OSM: Port de Coppet marina",Estimated,"Seasonal character; notable contrast to quieter off-season"
11,Nyon Urban Traffic – Centre,TRANSPORT,Road,Place du Marché,Nyon,46.38191,6.23852,YES,70,Continuous day,Broadband,Anthropogenic – urban traffic,"Compact urban core with through-traffic on Route Suisse; market events. OSM: Place du Marché, Nyon",Estimated / modelled,—
12,SBB Rail – Nyon Station,TRANSPORT,Rail,Gare de Nyon,Nyon,46.38516,6.23804,YES,70,Frequent daytime; IC stop,Low-freq + PA announcements,Anthropogenic – rail,"Major IC/IR stop; significant train frequency; station PA system. OSM: Parking Gare de Nyon node",Estimated / modelled,—
13,Nyon Port – Motorboat & Ferry Traffic,TRANSPORT,Waterborne,Port de Nyon,Nyon,46.37877,6.24009,YES,58,Seasonal daytime,Mid-freq engine + wake slap,Anthropogenic – recreational + CGN,"CGN ferry, motorboats; harbour wall reflects engine noise toward promenade. OSM: Port de Nyon marina",Estimated,Seasonal
14,A1 Motorway – Nyon to Rolle (mid-section),TRANSPORT,Motorway,A1 between Nyon and Rolle,Gland,46.42017,6.26998,YES,72,Continuous; peak AM/PM,Broadband rolling,Anthropogenic – road traffic,"Motorway cuts inland from lake; noise propagates less to shore than western section. OSM: Gare de Gland area used as reference point",Estimated / modelled,—
15,SBB Rail – Rolle Station,TRANSPORT,Rail,Gare de Rolle,Rolle,46.46312,6.33664,YES,67,Frequent daytime,Low-freq rolling,Anthropogenic – rail,"RE stop; lake immediately adjacent to tracks. OSM: Place de la Gare, Rolle",Estimated / modelled,"Rail track runs ~50m from lake edge here"
16,Rolle Port & Marina,TRANSPORT,Waterborne,Port de Rolle (south marina),Rolle,46.45241,6.33626,YES,57,Seasonal daytime,Mid-freq engine + mast rigging,Anthropogenic – recreational,"Large sailing marina; mast clinking (aeolian) + motorboat exits. OSM: Port de Rolle (Rue du Port)",Estimated,"Aeolian mast noise is characteristic acoustic feature; two marina basins verified in OSM"
17,Allaman – Motorway Service Area,TRANSPORT,Motorway / Industrial,A1 Allaman area,Allaman,46.47078,6.39617,YES,70,Continuous 24h,Broadband low + diesel idling,Anthropogenic – road + logistics,"Motorway service area with truck parking; diesel idling at night. OSM: Allaman municipality centroid used (service area not individually mapped)",Estimated,"24h character; notable noise intrusion point"
18,A1 Motorway – Allaman to Morges,TRANSPORT,Motorway,A1 near Allaman–Morges,Allaman / Morges,46.49000,6.44500,NO,72,Continuous; peak AM/PM,Broadband,Anthropogenic – road traffic,"Linear interpolation between verified Allaman and Morges points; motorway progressively approaches lake edge near Morges",Estimated / modelled,"Coordinate estimated; OSM node not individually retrieved"
