name,category,subcategory,description,season,frequency,lat_wgs84,lon_wgs84,E_LV95,N_LV95,urban_zone,origin_century,heritage_status,notes,region_segment
Fête de l'Escalade,Historical commemoration,Battle reenactment,"Commemoration of Geneva's victory over the Duke of Savoy's attack in 1602. Includes costumed parades, chocolate marmite breaking, Course de l'Escalade run, and children singing door-to-door.",Winter,Annual (December),46.2,6.1488,2500440.3,1117324.8,Genève - Vieille Ville,17th,No (on national living traditions list),Largest historical festival in Geneva. Marmite tradition dates from 1880s.,Geneva
Course de l'Escalade,Sport tradition,Road running,"Annual running race through Geneva's Old Town, linked to the Escalade celebrations. Multiple categories for all ages including costumed 'Marmite' race.",Winter,Annual (December),46.1983,6.1455,2500182.5,1117140.1,Genève - Parc des Bastions,20th (since 1978),No,One of Geneva's largest annual sporting events.,Geneva
Fêtes de Genève,Festival,Popular festival,"Major summer festival along the lakefront with concerts, food stalls, funfair, and one of Europe's largest fireworks displays over the Rade.",Summer,Annual (August),46.211,6.148,2500398.7,1118548.5,Genève - Rade / Quai du Mont-Blanc,20th,No,Attracts over 2 million visitors over 10 days.,Geneva
Promotions / Fêtes des Écoles,Educational tradition,School celebration,End-of-year school celebration marking students' passage to next grade. Tradition dating from 16th century with parades and festivities.,Summer,Annual (June),46.199,6.15,2500531.1,1117212.2,Genève - Parc des Bastions,16th,No,One of Geneva's oldest continuous traditions.,Geneva
La Revue genevoise,Performing arts,Satirical theatre,"Annual satirical theatre show mocking local politics and human foibles. Running since 1892, a deeply Genevan cultural institution.",Winter,Annual (December-January),46.2005,6.1395,2499723.4,1117392.3,Genève - Théâtre,19th (since 1892),No,Considered a living tradition of Geneva.,Geneva
Marronnier de la Treille,Natural tradition,Phenological observation,"Since 1818, the sautier (secretary of parliament) officially announces spring when the first leaf appears on the chestnut tree of Promenade de la Treille. Oldest phenological record in Europe.",Spring,"Annual (variable, typically March)",46.2003,6.145,2500147.6,1117363.0,Genève - Promenade de la Treille,19th (since 1818),No,Continuous record since 1818; indicator of climate change.,Geneva
L'Esprit de Genève,Cultural tradition,Humanist values,"Set of humanist values (justice, independence, tolerance) associated with Geneva's history from Calvin to the Red Cross. Manifested through international organizations and cultural identity.",Year-round,Continuous,46.21,6.14,2499779.5,1118447.5,Genève - International Quarter,16th onwards,Yes (national living traditions),Geneva's intangible cultural identity.,Geneva
Tradition horlogère genevoise (La Fabrique),Artisanal craft,Watchmaking,"Geneva's centuries-old watchmaking tradition. The 'Fabrique' refers to the distributed artisanal watchmaking system, with the Poinçon de Genève quality hallmark.",Year-round,Continuous,46.2013,6.1562,2501013.8,1117459.9,Genève - Quartier des horlogers,16th,Yes (national living traditions),Geneva hallmark since 1886. UNESCO-listed Swiss watchmaking tradition.,Geneva
Fête nationale suisse (1er août) - Geneva,National celebration,Swiss National Day,"Swiss National Day celebrations in Geneva with speeches, fireworks over the harbour, lantern processions and folk songs.",Summer,Annual (1 August),46.212,6.15,2500554.8,1118657.1,Genève - Rade,19th,No,Geneva's lakeside setting makes for spectacular fireworks.,Geneva
Bains des Pâquis traditions,Social tradition,Communal bathing,"Year-round communal bathing and social gathering at this iconic public bath on Lake Geneva. Fondue evenings in winter, swimming in summer. A beloved social institution.",Year-round,Continuous,46.212,6.15,2500554.8,1118657.1,Genève - Les Pâquis,20th (1932),No,"Iconic Geneva social institution, saved from demolition by popular vote in 1988.",Geneva
Fête nationale - Versoix,National celebration,Swiss National Day,"Traditional 1st August celebration with lantern procession, bonfire, local food stalls, and fireworks on the lake.",Summer,Annual (1 August),46.28356,6.1611,2501541.1,1126596.7,Versoix,19th,No,Small-town lakeside celebration.,Geneva
Jardins en Fête - Château de Coppet,Garden festival,Horticultural tradition,"Annual garden festival in the grounds of the historic Château de Coppet, with garden competitions, plant sales, and demonstrations.",Spring,Annual (May),46.317,6.192,2503981.4,1130275.5,Coppet,21st,No,Château historically associated with Madame de Staël's literary salon.,Versoix-Coppet
Giron des Musiques - Coppet,Music tradition,Brass band festival,Traditional brass band festival bringing together local fanfares and music societies for parades and competitions.,Spring,Periodic,46.318,6.193,2504060.2,1130385.4,Coppet,19th,No,Part of the broader Swiss Giron tradition of music society gatherings.,Versoix-Coppet
Paléo Festival Nyon,Music festival,Open-air music,"Switzerland's largest open-air music festival. 6 days, 250,000+ visitors, 250+ concerts on multiple stages. Founded in 1976 as the Nyon Folk Festival.",Summer,Annual (late July),46.3925,6.212,2505653.1,1138643.1,Nyon - Plaine de l'Asse,20th (since 1976),No,One of the largest open-air festivals in Europe.,Versoix-Coppet
Visions du Réel,Film festival,Documentary cinema,International documentary film festival held annually in Nyon. One of the most important documentary film events in the world.,Spring,Annual (April),46.383,6.239,2507713.5,1137555.0,Nyon - Centre,20th (since 1969),No,Internationally renowned documentary film festival.,Nyon-Gland
Les Hivernales de Nyon,Music festival,Winter music,Winter music festival in Nyon with concerts and cultural events during the cold months.,Winter,Annual,46.383,6.239,2507713.5,1137555.0,Nyon - Centre,21st,No,Complements summer festival scene.,Nyon-Gland
Roman heritage - Colonia Iulia Equestris,Heritage tradition,Archaeological heritage,Nyon was founded as a Roman colony by Julius Caesar. Roman museum and annual events celebrate this heritage.,Year-round,Continuous,46.3822,6.2385,2507673.7,1137466.7,Nyon - Musée romain,1st century BC,No,Roman columns still visible in town.,Nyon-Gland
Caribana Festival,Music festival,Open-air music,Diverse musical programme over 4 days in Crans-près-Nyon on the shores of Lake Geneva.,Summer,Annual (June),46.3775,6.2078,2505303.9,1136980.9,Crans-près-Nyon,21st,No,Intimate lakeside festival.,Versoix-Coppet
Fête nationale - Rolle,National celebration,Swiss National Day,"Traditional lakeside 1st August celebrations with bal populaire, cortège, and fireworks over the lake with the Île de La Harpe as backdrop.",Summer,Annual (1 August),46.46,6.3369,2515364.6,1146003.3,Rolle,19th,No,Picturesque setting with island.,Rolle-Allaman
Fête de la Tulipe,Flower festival,Horticultural tradition,"Annual tulip festival in the Parc de l'Indépendance behind Morges Castle, with 150,000 tulips in 350 varieties. Free admission, running since the 1970s.",Spring,Annual (late March - mid May),46.5104,6.495,2527576.7,1151447.0,Morges - Parc de l'Indépendance,20th (since 1970s),No,One of the largest free tulip displays outside the Netherlands.,Saint-Prex-Morges
Festival des Dahlias,Flower festival,Horticultural tradition,"Annual dahlia festival in the Parc de l'Indépendance, Morges, complementing the spring tulip festival.",Summer-Autumn,Annual (July - October),46.5104,6.495,2527576.7,1151447.0,Morges - Parc de l'Indépendance,20th,No,Extends the flower tradition through summer.,Saint-Prex-Morges
Les Mouettes de Morges,Folk tradition,Vaudois folklore,"Regional section of the cantonal costume association (ACCV) combining folk dance, traditional Vaudois costumes, and songs in annual performances.",Year-round,Annual performances,46.5098,6.4984,2527836.8,1151377.2,Morges - Centre,20th,No,Part of broader Vaudois folk dance tradition.,Saint-Prex-Morges
Fête nationale - Morges,National celebration,Swiss National Day,"Large 1st August celebration with cortège, concerts, DJ, food stalls, children's activities, dances, open-air cinema, and lakeside fireworks.",Summer,Annual (1 August),46.5098,6.4984,2527836.8,1151377.2,Morges - Quai / Port,19th,No,One of the more festive lakeside celebrations.,Saint-Prex-Morges
Marché de Morges,Market tradition,Weekly market,"Traditional weekly market in the old town of Morges, a centuries-old commercial tradition.",Year-round,"Weekly (Wednesday, Saturday)",46.5108,6.4995,2527922.5,1151487.4,Morges - Grand-Rue,Medieval,No,Continuous market tradition.,Saint-Prex-Morges
Voiles latines de Lutry,Maritime tradition,Historical sailing,"Gathering of traditional Latin-rigged sailing boats on Lake Geneva, preserving historic lake navigation techniques.",Summer,Annual,46.504,6.685,2542151.6,1150577.6,Lutry - Port,21st (revival),No,Preserves traditional lake sailing heritage.,Lausanne
Festival de la Cité,Performing arts festival,Street arts,"Free open-air performing arts festival in Lausanne's historic city centre (Cité). Theatre, dance, music, circus arts in medieval streets.",Summer,Annual (July),46.5231,6.6339,2538251.2,1152739.8,Lausanne - Cité / Cathédrale,20th (since 1973),No,Major free cultural event in the Cité quarter.,Lausanne
Lausanne Lumières,Light festival,Winter illumination,Festival of lights transforming Lausanne's landmarks with artistic light installations during the holiday season.,Winter,Annual (November-January),46.5196,6.6328,2538162.8,1152351.6,Lausanne - Centre,21st,No,Brings light to the darkest months.,Lausanne
Bô Noël,Christmas market,Festive tradition,"Lausanne's Christmas market with artisan stalls, local food, and holiday atmosphere. Final edition in 2025 under this format.",Winter,Annual (December),46.5196,6.6328,2538162.8,1152351.6,Lausanne - Place St-François,21st (since 2014),No,Major festive gathering point.,Lausanne
Le guet de la Cathédrale,Night watchman,Medieval tradition,"Since 1405, a night watchman calls out the hours from the belfry of Lausanne Cathedral from 10pm to 2am, every night. One of the last such traditions in Europe.",Year-round,Nightly,46.5231,6.635,2538335.6,1152738.9,Lausanne - Cathédrale,15th (since 1405),Yes (national living traditions),Over 600 years continuous. Last night watchman tradition in Switzerland.,Lausanne
Prix de Lausanne,Dance tradition,Classical ballet competition,"Prestigious international ballet competition for young dancers (15-18), held annually since 1973. Launching pad for world-class ballet careers.",Winter,Annual (January-February),46.5186,6.6322,2538115.6,1152240.9,Lausanne - Théâtre de Beaulieu,20th (since 1973),No,One of the most prestigious ballet competitions in the world.,Lausanne
Comptoir Suisse (historical),Trade fair,Commercial tradition,"Historically Switzerland's largest consumer fair, held in Lausanne from 1920 to 2019. A major Vaudois tradition for decades.",Autumn,Annual (September) - ended 2019,46.529,6.61,2536424.3,1153414.8,Lausanne - Beaulieu,20th (1920-2019),Yes (cantonal living traditions),"Major commercial tradition, now ended but culturally significant.",Lausanne
Fête nationale - Lausanne,National celebration,Swiss National Day,"1st August celebration at Ouchy with official ceremony, national anthem, concerts, Billie Bird, fireworks on the lake.",Summer,Annual (1 August),46.5063,6.6265,2537664.0,1150878.2,Lausanne - Ouchy,19th,No,Major lakeside celebration.,Lausanne
CGN Belle Époque steamers,Maritime heritage,Historic navigation,"Fleet of historic paddle steamers (Belle Époque boats) on Lake Geneva, some dating from the 19th century. Annual Naval Parade in May.",Year-round (enhanced summer),Continuous + Annual Naval Parade (May),46.5063,6.6265,2537664.0,1150878.2,Lausanne - Ouchy / CGN network,19th,No,"8 historic steamers, some over 100 years old.",Lausanne
Bol d'Or Mirabaud,Sailing tradition,Lake regatta,"Largest inland lake regatta in Europe, from Geneva to Villeneuve-Montreux and back. Over 500 boats. Founded 1939.",Summer,Annual (June),46.215,6.15,2500560.3,1118990.6,Genève (start) - Lac Léman,20th (since 1939),Yes (cantonal living traditions),Iconic Lake Geneva sailing event.,Geneva
Fête des Vendanges de Lutry,Wine harvest festival,Viticultural tradition,"Largest harvest festival in Canton de Vaud. 3 days of celebrations with wine tasting in caves, children's costumed parade (900+ children), concerts, market, regatta, and campagnard buffet.",Autumn,Annual (late September/early October),46.5039,6.6863,2542251.3,1150565.5,Lutry - Bourg,20th,Yes (cantonal living traditions),"Over 30,000 visitors. Benefits go to children's holiday colony.",Lausanne
