node_id,name,tier,tier_label,category,subcategory,operator,annual_packages_k,transport_modes,address,postal_code,city,canton,E_LV95,N_LV95,lat_wgs84,lon_wgs84,CRS,source,correction_note
P009,Amazon Fulfillment Center Genève-Lancy,A,Major Hub,international_companies,fulfillment_center,Amazon.com Inc.,1800,"truck, van",Chemin des Sablons 3,1227,Carouge,GE,2498885.854,1116249.976,46.1901,6.1289,EPSG:2056,ORIGINAL P009,Primary Amazon FC for French-speaking Switzerland.
N01,Geneva Airport Cargo (GVA),A,Major Hub,arrival_abroad,air_freight,Geneva Airport / Swiss WorldCargo / DHL / FedEx,1500,"air, truck",Route de l'Aéroport,1215,Le Grand-Saconnex,GE,2497440.062,1121599.91,46.238,6.109,EPSG:2056,MERGED P001+N01,Coords corrected from N01. Precise cargo apron location.
N08,Migros Distribution Center Ecublens,A,Major Hub,swiss_companies,retail_distribution_center,Migros Genossenschaft,1500,"truck, rail",Route d'Ecublens,1024,Ecublens,VD,2532432.322,1153236.008,46.527,6.558,EPSG:2056,NEW — from upload,Main Migros DC serving ~200 stores. Upstream of e-commerce hub. Much larger than my P017.
N10,Swiss Post Parcel Center Bussigny,A,Major Hub,swisspost,regional_hub,Swiss Post AG,1100,"truck, van, cargo_bike",Chemin des Papillons,1030,Bussigny,VD,2531534.459,1155247.281,46.545,6.546,EPSG:2056,REPLACES P006,N10 is the correct precise location of the Swiss Post main Vaud sorting center.
N04,Swiss Post Parcel Center Geneva (Lancy),A,Major Hub,swisspost,regional_hub,Swiss Post AG,920,"truck, van, cargo_bike",Chemin du Trabandan,1227,Carouge / Lancy,GE,2498976.152,1116570.892,46.193,6.13,EPSG:2056,REPLACES P005,N04 gives exact Lancy parcel center location vs my generic Rue de la Servette.
N03,SBB CFF Freight Terminal Genève-La Praille,A,Major Hub,arrival_abroad,rail_freight_yard,SBB Cargo AG,800,"rail, truck",Chemin de la Gravière,1227,Carouge,GE,2498808.755,1115795.423,46.186,6.128,EPSG:2056,REPLACES P002,⚠️ P002 was WRONG — Cornavin is a passenger station. La Praille is the actual Geneva freight rail yard.
P003,Chalandard Customs & Logistics Hub,A,Major Hub,arrival_abroad,customs,Swiss Federal Customs,800,"truck, rail",Route de Frontenex 62,1207,Genève,GE,2499643.685,1119572.776,46.2201,6.138,EPSG:2056,ORIGINAL P003,Customs clearance point. Not in uploaded list but critical node.
N09,Coop Distribution Center Aclens,A,Major Hub,swiss_companies,retail_distribution_center,Coop Genossenschaft,800,"truck, rail",Route de Cossonay,1123,Aclens,VD,2532648.122,1158792.217,46.577,6.56,EPSG:2056,NEW — from upload,Major Coop regional warehouse. Upstream supplier to Coop online hub P016. Not in original model.
N11,SBB CFF Freight Terminal Lausanne-Triage,A,Major Hub,arrival_abroad,rail_freight_yard,SBB Cargo AG,800,"rail, truck",Chemin de la Dougère,1020,Renens,VD,2531128.042,1153250.816,46.527,6.541,EPSG:2056,NEW — from upload,⚠️ CRITICAL GAP. Largest rail freight yard in W. Switzerland. Intermodal hub. Entirely missing from original model.
N15,Amazon Delivery Station Lausanne,A,Major Hub,international_companies,delivery_station,Amazon Logistics,750,van,Route du Bois 1,1024,Ecublens,VD,2533369.02,1154670.789,46.54,6.57,EPSG:2056,NEW — from upload,Amazon DSP sub-depot. 2000–5000 parcels/day. Distinct from P009 fulfillment center (upstream).
P014,Digitec Galaxus Lausanne Hub,A,Major Hub,swiss_companies,tech_retail,Digitec Galaxus AG,680,"truck, van",Avenue du Tir-Fédéral 44,1024,Ecublens,VD,2537169.603,1152784.387,46.5234,6.6198,EPSG:2056,ORIGINAL P014,Switzerland's largest online retailer local DC.
P004,Geneva Lancy Freight Terminal,A,Major Hub,arrival_abroad,road_freight,Various carriers,650,"truck, van",Route des Acacias,1227,Carouge,GE,2499131.763,1116179.161,46.1895,6.1321,EPSG:2056,ORIGINAL P004,A40/A1 road freight terminal. Not in uploaded list.
N02,DHL Logistics SA — Geneva Airport,A,Major Hub,international_companies,express_hub,DHL International GmbH,540,"air, truck, van",Route de l'Aéroport 33,1215,Le Grand-Saconnex,GE,2497359.16,1121378.922,46.236,6.108,EPSG:2056,MERGED P010+N02,N02 gives precise DHL Logistics SA building coords.
