metric,zurich_s8_lakeside,city101_geneva_villeneuve,ratio_or_comparison,significance
network_topology,radial_hub_and_spoke,linear_single_trunk,structural,"Zurich: every line passes through HB creating overlap. City101: one main line Geneva-Lausanne-Villeneuve with minimal branching."
total_line_length_km,32,101,3.2x_longer,"City101 corridor is 3x the length — but with less than half the frequency variation."
num_stations_sampled,12,49,4.1x_more,"City101 has more stations but many are barely served."
max_trains_per_hour,24.0,28.5,0.84x,"Hub comparison (ZH HB vs Lausanne). Roughly equivalent — both hubs are strong."
min_trains_per_hour,2.0,0.0,infinite,"THE critical number. Zurich's worst station (Oberrieden 2/hr) vs City101's worst (St-Saphorin 0.0/hr). The floor never drops to zero in Zurich."
frequency_range_ratio,12x,42x,3.5x_flatter,"Zurich: 24/2 = 12x variation. City101: 28.5/2.0 = ~14x if excluding zero or 42x including all. Radial networks compress variation."
avg_trains_per_hour,6.3,8.7,0.72x,"City101 average is actually higher because Geneva/Lausanne inflate it. But the distribution is bimodal — most stations cluster near the floor."
stations_below_3_per_hour,2,6,3x_fewer,"Only 2 of 12 Zurich stations below 3/hr (both at exactly 2). 6 of 49 City101 stations below 3/hr including two at zero."
median_trains_per_hour,4.0,6.5,0.62x,"Zurich median is lower — but more evenly distributed. City101 median hides extreme tails."
stations_with_zero_service,0,1,binary,"St-Saphorin has NO scheduled trains during workday morning. Zero Zurich stations have this condition."
min_sbahn_lines_per_station,1,1,parity,"Both networks have single-line minimum stations. But Zurich's single-line stations still get 2/hr; City101's get 2-3/hr at best."
max_sbahn_lines_per_station,16,n/a_not_comparable,structural,"HB has 16 S-Bahn lines — incomparable to City101 which doesn't have a radial overlay system."
stations_with_IR_service,4,8,0.5x,"But Zurich's IR is redundant (S-Bahn covers the same stations). City101's IR is the ONLY express service."
frequency_floor_2hr,100%,96%,near_parity,"All 12 ZH stations get ≥2/hr. 47/49 City101 stations get ≥2/hr. But City101's 2/hr stations are 60km from any hub."
continuous_4hr_coverage,83%,45%,1.8x,"10/12 ZH stations get ≥4/hr. ~22/49 City101 stations get ≥4/hr. This is where the radial advantage shows."
